
央视频道,#genre#
CCTV1FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226355/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV1FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225654/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV1FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225934/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV2FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226360/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV2FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225657/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV2FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225948/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV3FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226358/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV3FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225713/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV4FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226361/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV4FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225761/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV4FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225922/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV5FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225925/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV5FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226359/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV5FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225660/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV5FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225801/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV5+FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226363/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV5+FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225712/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV5+FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225998/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV6FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221226366/index.m3u8?servicetype=3&IASHttpSessionId=OTT
CCTV6FHD,http://gxyd.484947.xyz/PLTV/77777777/224/3221225715/index.m3u8?servicetype=3&IASHttpSessionId=OTT
